29082023	17:19:12	a6edc359-91c7-4de5-96fd-ddcbafa28966	GET 	 undefined 	 /
29082023	17:19:12	0cdc5ca5-a521-4b7a-8808-71dd5e1df93f	GET 	 undefined 	 /css/style.css
29082023	17:22:10	08a5b6eb-224b-43d2-ab21-e0030adcb598	GET 	 undefined 	 /
29082023	17:22:10	25b9cfbd-7f34-4d90-89a3-8741907a1bbe	GET 	 undefined 	 /css/style.css
29082023	17:29:31	c9714c02-538d-4fff-9c4b-1f28e273fe2c	OPTIONS 	 https://www.google.com 	 /
29082023	17:29:31	eecff93f-5636-4dee-bf06-68e88dd49552	GET 	 https://www.google.com 	 /
31082023	11:36:46	09de538e-36e0-4b4a-b270-71c494f06d40	GET 	 undefined 	 /css/style.css
31082023	11:36:48	d7d9dc0a-e6c2-4625-9b63-b4d80777906f	GET 	 undefined 	 /
31082023	11:36:48	ff81957c-413f-4ae0-829a-d6003180cbf9	GET 	 undefined 	 /css/style.css
31082023	11:44:30	373537de-5715-4dc3-b635-d5f41a7610ec	GET 	 undefined 	 /
31082023	11:44:30	2454558a-ce3d-466d-9a0e-f9aa19b1a20b	GET 	 undefined 	 /css/style.css
31082023	11:47:42	1174b957-df7d-420d-8334-d9956bf81f31	GET 	 undefined 	 /
31082023	11:51:49	f1df4f5b-b5f6-40cc-8d52-f93d6f15ea01	GET 	 undefined 	 /
31082023	11:51:49	bf995427-b4d9-4aaf-872d-d1043816c91f	GET 	 undefined 	 /css/style.css
31082023	12:02:45	f52bef8d-ad98-4a66-bb46-2f7bc9fd2d41	GET 	 undefined 	 /alena
31082023	16:47:45	cc5e2444-8764-4640-9a88-30e54efca777	GET 	 undefined 	 /
31082023	16:47:46	762c6621-75ce-4204-a1af-85cbb866eb1b	GET 	 undefined 	 /css/style.css
31082023	16:47:54	61705f1a-e101-4f27-a010-3d06c66b46fc	GET 	 undefined 	 /subdir
31082023	16:48:02	b8ec8a47-4af0-4563-a9f2-e6fd03a58458	GET 	 undefined 	 /subdir/test
31082023	16:48:32	09e83801-2ae2-46bf-a65f-67d343659524	GET 	 undefined 	 /subdir/testsd
31082023	16:50:07	27e4f270-7ed2-45e8-bf68-771b2617a333	GET 	 undefined 	 /subdir/testsd
31082023	16:50:18	688d7220-fb22-4809-bdf9-d185c6db6280	GET 	 undefined 	 /
31082023	16:50:18	6e60313f-9a07-4362-98e3-d07e221d27a5	GET 	 undefined 	 /css/style.css
31082023	16:50:21	36f4146a-c38d-42a5-9b8d-5ffac7aeff46	GET 	 undefined 	 /subdir/test
31082023	16:50:25	0579b2fe-306a-414b-8de5-ad9395dae86a	GET 	 undefined 	 /subdir/testds
31082023	17:05:47	b39ffb1e-bcb0-4937-a9bc-da45d8bdeaec	GET 	 undefined 	 /
31082023	17:05:47	350a0dab-992e-4a98-ab3e-c79245d88e06	GET 	 undefined 	 /css/style.css
31082023	17:05:53	a78456f5-784d-4a3b-8569-6f8aaddd68cd	GET 	 undefined 	 /about
31082023	17:12:16	a674daf5-55d6-4d2c-8044-646d45bbcac7	GET 	 undefined 	 /about
31082023	17:12:21	b51ca65a-3855-4226-b38a-c2779cb453c5	GET 	 undefined 	 /
